ufw 0.36.2-7
ufw-extras 1.3.0-1
unrar 1:7.3.1-1.1
unzip 6.0-23.1
upower 1.91.4-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vim 9.2.1046-1.1
vlc 3.0.23_2-14.1
vlc-plugins-all 3.0.23_2-14.1
vulkan-icd-loader 1.4.357.0-1.1
vulkan-radeon 3:26.2.3-1
wf-recorder 0.6.0-2.1
wget 1.25.0-6.1
which 2.25-1.1
wireplumber 0.5.17-1.1
wl-clipboard 1:2.3.0-1.1
wlr-randr 0.5.0-1.1
wpa_supplicant 2:2.12-1.1
xclip 0.13-6.1
xdg-desktop-portal-wlr 0.8.4-1.1
xdg-user-dirs 0.20-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 7.1.1-1.1
xl2tpd 1.3.20-1.1
xorg-xwayland 24.1.13-1.1
yay 13.0.1-1
zellij 0.45.1-1.1
zoxide 0.10.0-1.1
